{{1, 0.00022194890006063594, 0.0003947754691158925, 0.027082688888360115}, 
 {6, 0.00034461566737695783, 0.0003632515316049239, 0.00044841062433692255}, 
 {11, 0.000641231295369268, 0.0007047142285068002, 0.0012422574295445576}, 
 {16, 0.0013546677781889462, 0.0015265949633972652, 0.002006976005723902}, 
 {21, 0.0023499506461133507, 0.0025947458904738247, 0.0031893359502243694}, 
 {26, 0.004100516185038921, 0.004298452562652966, 0.004681439738617221}, 
 {31, 0.008646571197186623, 0.010292257301570691, 0.02123940204258629}, 
 {36, 0.0764566781183, 0.07976394786698046, 0.08987330451142934}, 
 {41, 0.20168713984585834, 0.20623373027610206, 0.21907176949478524}, 
 {46, 0.42392773245352405, 0.4299858989823983, 0.4432532867719276}, 
 {51, 0.8129577952474217, 0.8233504735207865, 0.8368162763620729}, 
 {56, 1.4563909385771803, 1.4636089068846507, 1.4793349574030419}, 
 {61, 2.4933558919843217, 2.4993200284902435, 2.50804964763048}}
