{{1, 0.00001682052662197056, 0.000019481038294238137, 
  0.00004061541794085575}, {6, 0.00006112825528472229, 
  0.00006391567599021174, 0.00007343595769104221}, 
 {11, 0.00010625649744122866, 0.00011129270584039662, 0.0001238975375569539}, 
 {16, 0.0001669744959790736, 0.00016936933319334712, 0.00017805142814476157}, 
 {21, 0.000214564278616844, 0.00022076803796871746, 0.0002494361021014171}, 
 {26, 0.00029005152004227285, 0.00032439283699365375, 0.0003626669642395604}, 
 {31, 0.0003466669511113445, 0.00035624899685100054, 0.0004237952195242827}, 
 {36, 0.00043651317867747996, 0.00045976207065290763, 0.000590359458756479}, 
 {41, 0.0005074875958872582, 0.0005400289342862709, 0.0008750776410893466}, 
 {46, 0.0005825645805658097, 0.0006019472794676855, 0.0006514877140412012}, 
 {51, 0.0006683082406631718, 0.0006950573783442823, 0.0007979493726764083}, 
 {56, 0.0007593852384699392, 0.0008218539659737025, 0.0014223601414237058}, 
 {61, 0.0008406160743516508, 0.0008928517856045678, 0.0012890266986885733}, 
 {66, 0.0009407187205897194, 0.0009834482003826272, 0.001197949700881806}, 
 {71, 0.0010375393128527696, 0.0010648600793912446, 0.0012123086870225125}, 
 {76, 0.001143385553547121, 0.0011917906251642106, 0.0012644112938759334}, 
 {81, 0.0012410266593039256, 0.0012893235275280672, 0.0015667705163245262}, 
 {86, 0.00136943702107653, 0.001435925020941854, 0.0016877962566533389}, 
 {91, 0.0014646165863520708, 0.0015361198846345835, 0.0016836936891845655}, 
 {96, 0.0016073859342653819, 0.0016868931541067487, 0.0018223604696291033}, 
 {101, 0.0017124116614659786, 0.0017860506460478651, 0.001985232398139404}, 
 {106, 0.001869129738773119, 0.001957550846303662, 0.002150565867130968}, 
 {111, 0.002019283708130222, 0.0021091434383094035, 0.002322873700819447}, 
 {116, 0.002143181245687176, 0.002278472265307991, 0.0027593868794969266}, 
 {121, 0.00244841226536391, 0.002542597725925811, 0.0028225664185160355}, 
 {126, 0.0025616431275020534, 0.0027840135772755218, 0.0035565157386795803}, 
 {131, 0.003376413026800432, 0.0036526288708046482, 0.003997541741572711}, 
 {136, 0.0035786696030109563, 0.003728185050199157, 0.0042416445059647225}, 
 {141, 0.003790362084399659, 0.003986626807216472, 0.004474670338191046}, 
 {146, 0.004027900740841634, 0.0042060255074635984, 0.004464824176265991}, 
 {151, 0.004309336869199483, 0.0044717883235381286, 0.004736824399445661}, 
 {156, 0.004573952470935361, 0.004701376306146765, 0.004971901515406372}, 
 {161, 0.0048877988822965185, 0.005051253378144038, 0.005199594009923291}, 
 {166, 0.005124927281991616, 0.0052969208674375845, 0.005607389216319357}, 
 {171, 0.005428107017933963, 0.005615749924977345, 0.00607877421848141}, 
 {176, 0.005686158511719805, 0.005953180855158119, 0.006901749252717335}, 
 {181, 0.006020928017171707, 0.006162634826843805, 0.006294569267338886}, 
 {186, 0.006394671913576955, 0.006534762132709842, 0.006921851833314324}, 
 {191, 0.006678979839162945, 0.006848232396619965, 0.0071060571126622465}, 
 {196, 0.007053133992315071, 0.007350465465491218, 0.007864621837638431}, 
 {201, 0.007507288211108276, 0.007659726173858292, 0.008292519624631487}}
