{{4, 0.0004984619474559569, 0.0006178889273412286, 0.001041641880321543}, 
 {8, 0.0006482056600661826, 0.0010137902792824638, 0.0022929249582974015}, 
 {12, 0.0008849238030144025, 0.0011806533150838549, 0.0018785656439512977}, 
 {16, 0.000987077732986858, 0.0012439430998625245, 0.0017751809437382103}, 
 {20, 0.0011872830254629953, 0.00152947804765759, 0.0032377462463558946}, 
 {24, 0.0014260524521456017, 0.0016307738831636814, 0.0020877965848587364}, 
 {28, 0.0016225654338998432, 0.001954892876338049, 0.0026539508955494527}, 
 {32, 0.002025027302586505, 0.0022936427832442566, 0.0031725154236023987}, 
 {36, 0.0023835916993572917, 0.0031935553015062564, 0.011618471071566007}, 
 {40, 0.002661745773740122, 0.003440803338049676, 0.006054979327162525}, 
 {44, 0.003196310314921284, 0.004274490775172144, 0.01061293178496967}, 
 {48, 0.004104618752507694, 0.005123632649098286, 0.010026674893681965}, 
 {52, 0.004428721582540786, 0.009402837182012617, 1.6366479069931545}, 
 {56, 0.005072004161644441, 0.007342400801724897, 0.08389012011497035}, 
 {60, 0.005751799591220177, 0.012032655306629995, 0.699293701984576}}
