{{1, 0.0003392820512820513, 0.00038341131831332243, 0.0005932307692307692}, 
 {2, 0.00040246153846153844, 0.0005074819178908533, 0.0009230769230769231}, 
 {3, 0.00045907692307692305, 0.0004724548994896264, 0.0005177435897435898}, 
 {4, 0.000521025641025641, 0.0005331654779915102, 0.0005608205128205128}, 
 {5, 0.0005948717948717949, 0.0007017112445731413, 0.001220923076923077}, 
 {6, 0.0006769230769230769, 0.000699672095917303, 0.0007171282051282051}, 
 {7, 0.0007819487179487179, 0.0009203939904173802, 0.0012923076923076922}, 
 {8, 0.0009124102564102564, 0.0019227705888741975, 0.10345558974358975}, 
 {9, 0.0010445128205128205, 0.001947149528694395, 0.012322051282051282}, 
 {10, 0.0012488205128205127, 0.0030004256295059722, 0.12151958974358974}, 
 {11, 0.0015401025641025641, 0.02181720993128598, 1.8854547692307693}, 
 {12, 0.003417025641025641, 0.06480310721323639, 71.859472}}
